# name: tr 
# type: matrix
# rows: 2000 
# columns: 2
1.333477 1.192823
1.127297 0.965781
0.247673 1.182841
0.821717 1.429596
0.031217 1.324266
0.078503 1.047064
-0.006418 0.509753
1.463147 1.057369
0.925245 0.820319
-0.410150 1.744133
0.084922 1.661443
0.763765 1.271485
-0.370361 1.035383
0.487309 1.012120
0.461419 0.083119
0.016855 1.821554
0.154976 1.300009
0.348444 0.707004
0.254020 1.652787
0.175369 1.092583
0.885710 1.046049
0.807420 1.223710
0.607705 1.275310
0.134283 1.782646
0.179125 1.725739
1.136469 1.135953
-0.113386 1.313016
1.090908 0.588517
0.336248 0.502341
0.305763 1.323305
0.490193 0.886551
0.779948 1.318192
0.720404 0.600925
0.434279 0.976561
-0.449749 1.538542
-0.844614 1.471667
0.771218 0.972717
0.134661 1.727140
0.510750 0.213135
0.424424 1.024332
-0.190269 0.913388
1.848193 0.329797
1.863220 0.126386
-0.258147 1.103441
0.786217 1.211385
0.403140 1.005061
0.993381 0.856934
-0.314951 1.869842
0.199112 1.376713
0.711236 1.756414
1.309402 1.727407
0.361431 1.327270
1.434009 0.325039
1.044361 0.546004
0.128696 0.864500
0.136735 1.622598
0.499459 0.659387
0.815511 1.043457
-0.170924 0.850916
0.594049 0.832373
0.704963 0.787906
1.095564 0.223420
0.360926 1.333624
0.695510 0.811780
1.166574 0.530587
1.032322 0.942022
0.536309 0.965028
0.573256 0.455341
0.647229 0.881989
0.848294 0.478130
1.796349 0.335058
0.803527 1.355427
0.217465 1.384861
0.490879 1.690546
1.495126 0.751590
0.179121 1.778911
0.078898 0.850111
0.968702 1.341341
0.341703 0.975232
1.113101 0.631480
0.356135 0.946218
0.372062 0.481701
0.145555 1.553991
0.527022 1.153099
0.330318 0.917737
0.125456 0.719752
0.380490 0.379418
-0.107101 1.199956
0.341069 0.919050
0.906011 0.833509
0.959167 0.820588
0.682771 0.964668
1.753071 0.474318
0.951999 0.779795
0.938633 0.835674
0.787189 1.157014
0.685077 0.567813
0.165066 1.040016
0.688798 0.185124
0.291825 1.223429
0.245151 1.119536
0.527381 1.250640
0.808023 0.695567
0.261275 1.426005
0.918872 0.268487
1.007990 0.516320
-0.299534 1.693186
0.690623 0.814585
0.000918 1.057113
-0.226140 1.287047
0.294661 1.120649
0.142273 0.819757
0.815383 0.169303
0.303919 1.119575
0.198091 1.569250
0.512673 1.121736
0.950096 0.849914
0.487938 1.043402
0.416282 1.396680
0.085850 0.718614
0.352392 1.186789
0.305207 0.267279
-0.124732 1.198910
0.325991 1.192239
0.905695 0.689726
1.134832 0.866766
0.526041 1.253464
-0.090348 1.859060
-0.072777 1.485988
1.056669 1.394143
0.377143 1.319841
1.055082 1.348480
0.232181 1.399289
0.989047 1.032040
0.733202 1.276395
0.478044 0.793943
1.035090 0.551114
0.540610 1.004859
1.072455 0.433158
0.346173 0.865200
-0.086977 1.124363
0.250955 1.259690
-0.703756 1.069425
0.276441 0.817068
0.282269 1.386365
0.421501 1.799497
0.553615 1.303756
0.769786 0.943720
0.030159 1.425316
0.926089 1.024033
-0.016442 1.365884
0.629233 0.745476
0.752651 1.276628
0.541931 0.716320
0.746462 0.791695
0.160964 1.157212
0.277708 0.586467
-0.251698 1.694378
0.089186 1.381254
0.244488 1.760913
0.820550 0.658917
0.725820 1.020625
1.746844 0.745520
-0.154226 1.206823
0.612870 0.379216
0.911190 0.241418
0.473315 0.768534
1.441683 0.171414
0.345177 0.789608
-0.206722 1.103100
0.628620 1.185226
-0.833269 1.521518
0.302199 0.989408
0.714178 0.696880
0.641204 1.485252
1.472102 0.610873
