# name: tr
# type: matrix
# rows: 2000
# columns: 2
3.763807 1.358530
3.711908 1.725855
3.828770 1.179592
3.304748 1.698391
3.252522 1.503609
3.433997 1.571701
3.331622 1.466728
3.865663 1.832905
3.577920 1.652088
3.128730 1.551790
3.014819 3.220806
3.124756 3.731070
3.142436 3.364495
3.117991 3.098917
3.908113 3.198415
3.466302 3.762829
3.556945 3.269120
3.579593 3.476625
3.448712 3.884341
3.265924 3.701234
1.216618 3.882395
1.820189 3.773563
1.242423 3.490691
1.341097 3.691135
1.465941 3.607022
1.483279 3.035709
1.397852 3.847123
1.846191 3.655411
1.258449 3.671395
1.581799 3.321862
3.067754 3.863731
3.047754 3.474149
3.160192 3.218239
3.725271 3.666049
3.596876 3.879459
3.581326 3.690668
3.084982 3.122639
3.472918 3.071120
3.063551 3.186050
3.419473 3.745161
2.521199 2.686892
2.047217 2.143461
2.909085 2.185753
2.809051 2.114062
2.907090 2.049143
2.791400 2.065753
2.003783 2.839154
2.539902 2.163975
2.148301 2.356082
2.830024 2.745177
0.326450 2.502259
0.526755 2.411433
0.624898 2.090582
0.482553 2.688449
0.276632 2.902026
0.524519 2.797831
0.679827 2.571736
0.032201 2.679821
0.757490 2.841251
0.793883 2.755489
0.890395 0.676192
0.821242 0.894178
0.606255 0.452053
0.149062 0.754556
0.808135 0.069995
0.590643 0.225495
0.572254 0.208306
0.636927 0.288061
0.298888 0.210389
0.067419 0.575520
0.837195 0.622506
0.593755 0.233878
0.484037 0.079676
0.236815 0.797622
0.623750 0.085218
0.101160 0.328728
0.524264 0.539283
0.605961 0.262525
0.705243 0.262163
0.299675 0.172501
2.137482 2.065950
2.098044 2.588370
2.330544 2.262063
2.301260 2.082862
2.388480 2.849541
2.530518 2.241328
2.598861 2.692525
2.443115 2.142975
2.802761 2.568787
2.470650 2.188949
1.506873 3.387454
1.754490 3.358535
1.222115 3.296376
1.663055 3.580595
1.895313 3.307494
1.815964 3.123704
1.373444 3.004917
1.712075 3.703987
1.266980 3.104243
1.786850 3.655460
1.044693 3.408277
1.896788 3.643554
1.191712 3.430813
1.786528 3.085381
1.090508 3.348087
1.274330 3.597382
1.735541 3.119729
1.046826 3.048566
1.416105 3.709880
1.629160 3.402327
1.437939 3.204992
1.751609 3.264390
1.324721 3.798434
1.312955 3.740826
1.599224 3.033025
1.234063 3.707507
1.569058 3.760094
1.280142 3.200918
1.180019 3.556765
1.099757 3.613277
1.711148 1.654056
1.182139 1.364716
1.286962 1.394553
1.209996 1.350680
1.484405 1.140658
1.504907 1.013254
1.345650 1.347425
1.277644 1.670371
1.236768 1.590599
1.502106 1.835992
3.623624 3.736168
