% name: tr 
% type: matrix
% rows: 150
% columns: 2
1.9058 -1.2218
1.1784 0.2147
1.9905 -0.1324
0.9592 -0.5284
1.9104 -2.4477
1.9245 -0.6541
1.1154 -0.0923
2.6333 -2.5956
-0.1997 -0.0597
0.1677 0.4327
2.1799 0.3539
-0.8347 -0.1098
-0.6035 0.1010
-2.4137 0.1791
1.2502 -0.3178
-0.2724 -0.1711
1.5042 -0.7394
1.9967 -0.1825
1.3616 0.2700
0.5803 -0.0681
2.2644 -0.2578
2.4529 0.5049
1.7604 1.0115
2.7942 0.1574
2.1047 -0.0634
2.1370 -2.3347
2.3914 1.6260
2.3007 -1.3310
-0.9342 0.0236
-1.2400 0.4794
-0.0802 0.1624
1.2390 -0.3288
1.3867 -0.0082
-0.3244 0.2892
2.6727 -0.3960
2.1549 -0.9618
-1.2044 -0.1274
-1.0061 0.7830
-0.7665 0.2914
0.8754 0.0838
1.2169 0.5430
1.8303 -0.1658
-1.0777 0.2122
2.7986 0.2557
1.7760 -1.4647
1.8233 0.3453
2.1409 0.3393
1.7861 0.7193
2.8058 1.7981
-0.1835 -0.0026
1.7450 0.1775
-2.0399 -0.0411
2.1679 1.2302
0.6376 -0.0907
2.1476 -0.2012
1.6302 -0.7428
-0.8999 -0.1417
2.0502 0.5455
1.6742 1.0202
-0.2731 -0.2315
1.9188 0.7280
1.7944 -0.7196
-2.6577 0.0729
-0.5756 0.3624
2.2842 0.4714
0.2146 0.0064
-1.1971 -0.1166
0.6090 -0.6849
2.0733 -0.0589
1.9313 -2.7804
2.3324 0.8619
2.0508 0.2482
-1.1133 0.0886
1.6349 -1.8084
2.2570 -0.6832
1.9900 0.1046
1.6681 -1.3225
2.3295 -0.5975
1.7419 -1.6936
2.1633 -1.3918
0.0806 -0.0369
1.5627 1.2827
1.4883 1.3283
1.9902 0.4690
-0.3691 0.2943
0.5216 -0.0253
2.0270 -0.5137
-0.2864 0.1768
2.4651 -2.4051
0.8908 -0.2827
-1.0858 0.1929
2.2620 -0.4135
1.8497 2.5336
1.6111 -1.0293
-0.0842 -0.4168
1.0878 0.0982
1.3209 0.3847
1.9747 -0.7565
1.8028 -0.9160
1.8765 -0.8949
1.9634 -2.4560
1.4645 -0.0237
0.0503 0.1943
2.1236 0.0180
1.5418 -0.8641
1.7561 -1.6267
0.9855 0.6211
1.7244 -0.1388
2.1767 0.9545
-0.2962 -0.4219
0.0555 0.6055
1.5852 -0.1766
-0.4118 0.1823
2.0870 -1.1643
1.6671 1.1683
-0.3464 -0.2178
-0.2573 -0.1489
1.8206 -0.0577
1.5148 0.3088
2.9962 -0.7815
2.5760 -1.8409
2.0971 0.7005
1.8857 0.4973
1.0024 -0.2219
2.5629 3.1624
-1.4282 0.2978
2.1049 -1.6157
-0.9643 -0.0950
0.7757 -0.3202
1.7886 0.8044
-1.6645 0.0611
2.4574 -1.3516
0.0357 0.1139
-1.6154 0.0104
0.4062 -0.2805
2.2207 0.1227
-3.5351 -0.5475
1.4525 -0.2409
2.1531 1.2954
-2.3096 0.2994
-0.6271 -0.3391
1.8494 -0.1762
3.3805 -0.2669
-1.7756 -0.1952
1.4615 0.1382
4.2082 -0.1766
0.7714 -0.1626
2.2339 -0.5834
1.4820 -0.0138
2.4784 2.2584
