% name: ts
% type: matrix
% rows: 50
% columns: 2
-0.3639 -0.5382
0.3703 -0.0610
1.7383 0.1714
2.5123 0.6207
-2.3829 0.1725
2.8319 -0.2897
2.1932 -0.0928
0.3425 0.5227
1.7770 -0.7043
1.9224 -0.3843
0.0717 0.3033
-0.7750 0.0902
1.9521 0.3933
1.8517 -0.6756
1.5827 -1.3744
1.4927 -1.0727
1.8039 -0.0958
1.9545 -0.8572
1.8019 0.8800
2.4345 2.0932
0.4272 0.2789
1.4150 2.4162
2.6906 -0.0772
-1.5344 0.2795
0.1827 0.2508
1.5522 0.4620
2.6667 1.5630
2.1998 -1.1254
2.3531 1.0680
-0.3295 -0.4015
-0.5201 -0.5187
0.7844 -0.3542
1.9585 -0.2091
-0.9006 -0.3636
2.0431 0.4772
2.1376 -0.9069
-1.2254 -0.0348
-1.4709 0.1843
2.0464 -0.6582
1.3885 -0.9391
-0.4217 -0.4350
2.4694 -0.0826
1.7522 0.4182
-1.5873 0.1214
2.5320 -0.7329
0.6329 0.1559
2.1709 2.0519
2.2589 -1.9574
-0.5476 -0.5121
0.5197 -0.0225
