MacBook-Pro-de-Josep:fso_pract3 Josep$ ps aux
USER              PID  %CPU %MEM      VSZ    RSS   TT  STAT STARTED      TIME COMMAND
_windowserver     206  32,4  1,6  4667504 135784   ??  Rs   15sep15 150:12.90 /System/Library/Frameworks/ApplicationServices.fram
Josep             240   4,7  0,9  2730116  76008   ??  U    15sep15  18:42.62 /System/Library/CoreServices/Dock.app/Contents/MacO
Josep             266   2,8  0,7  2576184  62312   ??  U    15sep15   8:49.52 /System/Library/PrivateFrameworks/CalendarAgent.fra
_coreaudiod       247   1,2  0,1  2502768   4304   ??  Ss   15sep15   6:09.27 /usr/sbin/coreaudiod
Josep           16972   1,2  0,1  2494888   8032   ??  S     3:23PM   0:00.40 /System/Library/PrivateFrameworks/AOSKit.framework/
Josep             330   1,0  1,9  2982984 156584   ??  S    15sep15 281:40.71 /Applications/Google Drive.app/Contents/MacOS/Googl
Josep           16549   0,8  3,0  4007572 250292   ??  S    10:28PM   0:46.09 /Applications/iTunes.app/Contents/MacOS/iTunes
Josep           15520   0,7  0,5  2599864  37864   ??  U    sáb01PM   0:05.85 /Applications/Utilities/Terminal.app/Contents/MacOS
Josep             312   0,2  0,3  2774260  27700   ??  S    15sep15  10:42.96 /System/Library/CoreServices/NotificationCenter.app
root               72   0,2  0,1  2514308   8000   ??  Rs   15sep15   0:49.29 /usr/libexec/opendirectoryd
root               39   0,2  0,0  2474004   1464   ??  Ss   15sep15   1:32.24 /usr/sbin/syslogd
_networkd         168   0,1  0,1  3702300   9456   ??  Ss   15sep15   1:40.91 /usr/libexec/networkd
root                1   0,1  0,2  2495680  14044   ??  Ss   15sep15   8:15.03 /sbin/launchd
Josep             234   0,1  0,1  2499348   4224   ??  S    15sep15   0:17.60 /usr/libexec/UserEventAgent (Aqua)
_netbios        16983   0,0  0,1  2470036   5960   ??  SNs   3:46PM   0:00.04 /usr/sbin/netbiosd
Josep           16894   0,0  0,3  2512992  27596   ??  S    12:04AM   0:00.81 /System/Library/Frameworks/CoreServices.framework/F
Josep           16854   0,0  0,4  2520084  32088   ??  S    11:36PM   0:00.99 /System/Library/Frameworks/CoreServices.framework/F
Josep           16853   0,0  0,3  2510800  24512   ??  S    11:30PM   0:00.87 /System/Library/Frameworks/CoreServices.framework/F
Josep           16852   0,0  0,3  2513792  27636   ??  S    11:30PM   0:00.76 /System/Library/Frameworks/CoreServices.framework/F
Josep           16436   0,0  3,0  4108552 247624   ??  S     8:41PM   1:28.65 /Applications/Skype.app/Contents/MacOS/Skype
Josep           15456   0,0  0,1  2558104   8976   ??  S    sáb12PM   0:00.43 /System/Library/CoreServices/CoreServicesUIAgent.ap
Josep           14380   0,0  1,9  4039344 157196   ??  S    vie02PM   3:12.53 /Applications/Telegram.app/Contents/MacOS/Telegram 
root            14336   0,0  0,0  2521956    776   ??  Ss   vie01PM   0:08.66 /usr/sbin/systemstats --xpc
Josep           14169   0,0  0,0  3545804   1840   ??  Ss   vie12PM   0:05.86 /System/Library/Frameworks/WebKit.framework/Version
Josep           13715   0,0  0,1  2494684   5640   ??  Ss   vie09AM   0:06.30 /System/Library/PrivateFrameworks/Safari.framework/
