# MergeSort. Tiempos en microsegundos
#  Talla    Mejor     Peor    Promedio
# --------------------------------------
   10000   1182.39     680.25     1383.33
   20000   1485.69    1362.06     2851.62
   30000   2076.92    2208.71     4527.74
   40000   2854.15    2855.42     6034.90
   50000   3600.38    3639.46     7985.26
   60000   4615.97    4399.23     9435.16
   70000   5211.02    5482.37    11432.51
   80000   6227.57    6036.72    13068.04
   90000   6868.21    6727.10    14673.56
  100000   7427.26    7696.24    16422.96
