# Busqueda lineal. Tiempos en microsegundos
# Talla    Mejor     Peor    Promedio
#------------------------------------
  100000   0.04      44.85      17.63
  200000   0.04      60.26      25.97
  300000   0.04      87.61      38.31
  400000   0.04     105.01      53.23
  500000   0.04     142.93      67.16
  600000   0.04     180.12      78.53
  700000   0.04     230.85     104.60
  800000   0.04     261.70     117.48
  900000   0.04     309.03     134.97
 1000000   0.04     349.02     151.11
