# Inserción directa. Tiempos en microsegundos
#  Talla    Mejor     Peor    Promedio
# --------------------------------------
   10000   67.95   25472.48    12823.87
   20000   49.24  101237.94    51825.94
   30000   72.08  224802.05   113599.70
   40000   92.57  400057.39   203888.91
   50000   119.99  625487.97   313452.30
   60000   140.97  897981.64   450017.04
   70000   159.78 1221683.26   611214.20
   80000   182.10 1618587.72   797467.03
   90000   213.52 2047083.19   1017490.15
  100000   236.97 2530100.59   1256152.22
